file	paragraph	score	markers	text
013.所谓“黄色”.txt	6	4		昨与老景看桂河大桥，结果没买到票，黄牛太多了，碰到赵依依，她居然给黄牛做起黄牛来了（站在黄牛让给她的地方而代给黄牛买票），本来老景也要如此做，被我拒绝，后买不到票，老景要买黄牛票，亦为我所阻，老景说：“只你一个人同黄牛不合作难道有效吗？”我说：“我们以后遇到类似的事情多着呢，对现状可能一点效果也没有，可是我们求的是内心的耿介与顽强。不该以成败及效果衡量哪件事该做哪件事不该做。”
014.明归何处.txt	3	4		二爷骑车摔伤两手，以致北来拖至十号以后，他来信谓：“老马来之二信，言在凤山颇为孤单。这厮不合群，故甚烦恼，我已去信劝慰一番，并小小消遣了一下，恐这厮生气，五天没有回信。”云云。唉！老马，我真不明白你有“烦恼”不让我知道，你的生活好吗？你来信都很少谈，谈也只谈那丹田大呼“教官早安”的快乐的一面，我真不知道你是否合群与快乐？袁祝泰来信谓“……来信给老马看，引起轩然大波，同学们争阅你寄来的相片。”我想不到“美人图”在尊处竟有此沟通交谊之奇效，若果是，吾当寄大量女人图片与你这厮以为招徕。如是或不致再孤独也。
015.小舟之逝，从此始矣！.txt	10	4		我个人的“气愤和不平”早已没有了，因那事引起的不愉快早已烟消云散了，你说我“未能‘淡然一笑’置之”，我实在不能予以承认，其实你想：以我们的胸襟与气派，岂该为这些小事耿耿于怀吗？你说：“我从你的经过冷却过的语句发觉你的哀痛”，其实我才不哀痛呢！（至多是“哀”而不“痛”）
015.小舟之逝，从此始矣！.txt	14	4		我不知道我能过多久，不过我已决定如是过着今后的生活，能过多久就过多久孤单的（没女人的）生活，我去年与×分手时就过过，不过失败了，我今日再过却远非去年的“能力”所及，一年多来，我磨练出许多往日没有的“能力”，我已变得比过去坚定、强韧而成熟，我能否定许多，也能肯定不少，完全随我看法与意志而定，假如我今日否定了×人的人格，肯定了她是一个卑鄙可耻的女人！这是二三个月前的我还没有的态度，那时我一方面过着远离女人的生活，一方面又迷恋旧日的偶像。在那种矛盾的心神下，如何过得了“不倚女人”的生活？可是今天的李敖却不同了，我不但站起来，并且是长得更茁壮了。
015.小舟之逝，从此始矣！.txt	15	4		我认为我们所求的在于sense of balance，使自己言行统一，不矛盾，使思想和行为剑及履及的在一起，不可分家，或一个在前，一个落后！为了使自己统一独立，社会的压迫我们都可以受，难道竟在女人面前让我们以道殉人地折腰吗？这怎么说呢？所以我大大反对你说的：“……你如和那些俗男子可往还，同样的道理可适用于俗女子——如跳舞、鬼扯……用不着显示你的对世俗的愤慨，和你‘洪水猛兽’的襟怀的。”唉！老马，我们岂是这等人么？为找女人而去教堂，为找女人而练跳舞之徒素为我所卑视，人总该是正大光明的“显示”出他自己，得意如是，失意如是，腾达如是，落魄如是，“藏好”、“掩真”、“遮善”、“隐恶”都是不必的，古人说：
021.只消捡起一块石头.txt	12	4		昨日独看一影曰《彩凤伴金龙》。中有一大狗，状极骇人，殊不知此狗故作长鸣骇人耳，从不咬人，一 coward耳，，我总觉得他们成不了什么“气候”，以其皆赫赫其外，coward其中，他们总是用背后中伤的手段伺机打落水“人”（非“狗”），可见你一凶，只消捡起一块石头作欲击状，他们就夹尾而逃了，所以我在社会中，始终主张“横着膀子撞”，不惧怕什么。
024.不知情绪为何物.txt	11	4		大一的小毛头们对我这长衫皆不习惯，这一干人等似皆窃窃私语，投以奇怪之目光。昨在注册组前一女生极美，一直在注视我，朋友们说：“她在看你的长袍。”我答道：“胡说！她看的不是长袍，乃是我李敖！”
027.为前信进一解.txt	11	4		这一部分是指“新欢”而言，我决定采取“真空放电式”，随时随地地发散掉，仍是能打拳者打拳，能踢脚者踢脚，随兴之所至，境之所处，任其去留了。如你所说，我在这上面比新汉、庄因皆好变，我亦随它变来变去罢，胡家伦笑我是物理学上的“布朗运动”，事到如今，我亦不得不承认了，我现在干干脆脆自命一个多变（尤其多Mutation）的不可了救药的人。
032.历史系总干事.txt	3	4		罗思琳当选后，吾参观新旧总干事移交之镜头，不期她竟回过头来朝我恨恨道：“我决不放过那捣我蛋的人！”我闻而曰：“欢迎挑战！”不知此君日后当如何“整”我也，真可笑。吾现在盼华昌平能当选为副总干事，华昌平是我的人，如是，她将无法制吾矣。
043.非“痴”.txt	7	4		从诗来说，这是好诗，用字措辞都上选，不过论起“意义”和“背景”（尤其是“背景”）来，就大有讨论的余地了。我觉得你今日的大病仍在一个“痴”字，依我看来，“痴”的一个字义有好坏两面：
