file	paragraph	line_start	line_end	char_count	score	snippet
006.余井塘竞选国大代表的丑剧（徐恩庆）.txt	9	17	17	490	7	我一连几天坐着副市长的汽车，分别到市里规模比较大的中小学，再三嘱咐校长们到选举的那天，带领已取得市教育会会员资格的教职员，前往白下路商会参加选举投票。并告知他们：所欠交的教育会会费，均由竞选事务所代交；投票后，在附近菜馆款待每人一碗面，小笼点心四只，以示慰劳。余井塘竞选事务所设在三中校长室，因为三中校长周行是马元放的嫡系，竞选事务所和投票地点都在白下路，相距...
006.余井塘竞选国大代表的丑剧（徐恩庆）.txt	11	21	21	179	4	我和教育局几个同事去商会观望，看到许多人正在投票，我们就站在投票箱的旁边，劝一些熟人投余井塘的票。这时人群中出现了两个特务，用手枪对着我们的胸膛，威胁我们退出投票场地。我厉声说：“你们想干什么？难道打死人不犯法吗？”当时，好心人说，光棍不吃眼前亏，劝我们不必和他们争吵。无可奈何，我们憋着一肚子气，退出了投票场地。回到三中向马汇报后，大家面面相觑，不欢而散。
007.徐恩曾是这样当上“国大”代表的（张文）.txt	4	7	7	395	5	徐为了趁机发财，首先在外滩麦加利银行租贡一套写字间，挂牌“中国机械农垦公司”。其实既不农垦，亦无机械，只是用这块招牌做幌子，对外联系，买空卖空，搞投机生意，只要有钱可捞，便不择手段，什么“生意”都可以干。据了解，比较大一些的：一为组织什么“打捞公司”，利用网罗一批日籍水鬼，打捞在吴淞口和江阴一些地方在抗战时期沉没的船只，大发横财；二为以某某轮船公司名义投资八...
007.徐恩曾是这样当上“国大”代表的（张文）.txt	6	11	11	359	3	迨一九四七年，徐恩曾虽发了财，但绝不甘心被摒于政治权力之外。他深知蒋介石的所谓永不录用的“永”，只不过暂时不用，并不是真正永不录用。这一点徐是有实际的例证和深刻体会的。我曾听徐恩曾说过：“钱大钧不是被蒋介石骂得狗血喷头，曾扩情不也受过‘永不录用’的处分吗？但是后来又都起用了。”此外还有在西安事变时任西安广播电台台长的王劲（又名王中权，江苏无锡人），播放过张、...
007.徐恩曾是这样当上“国大”代表的（张文）.txt	10	19	19	181	3	我原任中统局秘书，一九四七年五月调任中统“外延单位”——国民党内政部人口局第四处处长。是年八月规定投票选举前两、三天，徐恩曾来南京活动，准备一切。在投票的前一天，徐亲自来找我，要求我邀集二、三十人冒充某某工程师代为到场投票选举。徐之所以找我帮忙，而不找别人，一则以我与他私交甚厚，再则以我属外延单位，究与中统局本部有所不同。徐的这一请托，我当然是完全接受照办了...
007.徐恩曾是这样当上“国大”代表的（张文）.txt	13	25	25	83	3	约一个月后，伪国民大会代表选举事务总所正式公布：徐恩曾当选为电机工程师学会选出的“国大”代表。翌年徐便以“国大”代表身分出席了所谓行宪“国大”。蒋介石当选为“总统”。
007.徐恩曾是这样当上“国大”代表的（张文）.txt	16	31	31	153	3	按照国民党中央规定：汉口特别市可产生“立法委员”若干名（具体数字不详），这一名额便是由汉口各派系之间协商分赃决定的。中统方面分得两名，其中一名由熊东皋自取外，另一名则由熊东皋送给费侠（湖北人，留苏学生、中共叛徒）。熊之所以将这一“立委”席位送给费侠，用熊自己的话来说，是为了报答徐恩曾对他长期培植提拔之恩。
007.徐恩曾是这样当上“国大”代表的（张文）.txt	17	33	33	250	3	一九四五年冬，费侠与徐恩曾从重庆飞回上海，从未到过武汉，直到汉口选举“立委”的前几天，费侠始来到汉口。第二天由熊东皋安排在汉口市陈其美路新生联谊社（中统开设的歌舞厅）大摆筵席，招待中统鄂汉区、汉口市调统室以及其他有关人员，费侠在熊东皋伴随下，来到宴会厅。首先由熊介绍费侠与大家见面，并大大地为费吹嘘颂扬一番，接着费侠说了一些请大家帮忙的话。如是从当晚起，这些中...
008.闻喜选举“国大”代表的黑幕（张纯如）.txt	2	3	3	170	3	一九三三年国民党反动派颁布了所谓《五五宪法草案》，声称“还政于民”，实际上是要“以党治国，一党专政”。根据《宪法草案》规定，讨论和通过宪法，必须召开所谓国民大会，而要召开国民大会，自然首先要选举“代表”。经过再三筹划准备后，始于抗日战争前一年在各地进行选举。关于整个黑幕，我知道的不多，只就我亲自参加过的闻喜国民大会代表选举情况，回忆如下：
008.闻喜选举“国大”代表的黑幕（张纯如）.txt	4	7	7	443	3	我携带运动费二百元回到闻喜后，始向县长朱守正说明来意，吹嘘了一顿我和王怀明的关系，说王怀明是奉“阎主任”之命来竞选的，朱守正只得唯命是听。下一着就是向叶晴溪说项了，利用叶晴溪与我父的友谊关系，向其陈明利害所在，应当见机而做，留有余地，不要硬走极端。经过再三解释后，叶晴溪权衡利害，被迫表示让步，并反过来愿意为王帮忙，反敌为友。看来此事已有九分把握了。从此我便利...
